央视,#genre#
南江电视台 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/njxw_2000.m3u8
盐边电视台 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ybtgq_2000.m3u8
名山电视台 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/msdstH265_2000.m3u8
金堂电视台 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jtzhpd_2000.m3u8
成都高新区 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/cdgxdstgq_2000.m3u8
成都新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CDTV-1_4000.m3u8
成都每日购物 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/mrgw_4000.m3u8
什邡新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/sfx_2000.m3u8
开江新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/kjxwzh_2000.m3u8
夹江新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jjxw_2000.m3u8
攀钢新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pgxwzh_2000.m3u8
大英新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dyxwzhH265_4000.m3u8
洪雅新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/hyzh_2000.m3u8
渠县新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/qxxwzh_2000.m3u8
郫县新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pxds1_2000.m3u8
蓬溪新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pxxw_2000.m3u8
资阳新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/zyxwzh_2000.m3u8
达川新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dcxwzh_2000.m3u8
凉山新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lsxwHDH265_4000.m3u8
凉山彝语综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/yyzh_2000.m3u8
古蔺新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/glxwzhgq_2000.m3u8
井研新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jyxwzh162_2000.m3u8
宜宾新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ybytH264_2000.m3u8
宜宾公共频道 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ybetH264_2000.m3u8
宜宾精品导视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ybds_2000.m3u8
